frame,track_id,class,u_px,v_px,image_region,image_lane,x_world_m,y_world_m,map_x,map_y,longitude,latitude,map_lane_code_raw,map_lane_code,map_lane_id,speed_kmh,raw_x_world_m,raw_y_world_m,raw_longitude,raw_latitude,output_filter_reason
146,1,target,1634.0,674.2,down,down_L2,23.26,2.89,,,117.42073801,40.39879487,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,,23.26,2.89,117.42073815,40.39878710,
147,1,target,1615.5,665.2,down,down_L2,23.26,4.09,,,117.42072047,40.39879536,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,,23.26,4.09,117.42071581,40.39878661,
148,1,target,1597.3,656.7,down,down_L2,23.24,5.28,,,117.42070301,40.39879585,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,,23.24,5.28,117.42069892,40.39878317,
149,1,target,1581.1,648.8,down,down_L2,23.24,6.41,,,117.42068584,40.39879633,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,,23.24,6.41,117.42070184,40.39879564,
150,1,target,1564.4,641.3,down,down_L2,23.21,7.56,,,117.42066703,40.39879686,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,,23.21,7.56,117.42068793,40.39879604,
151,1,target,1548.3,634.2,down,down_L2,23.16,8.69,,,117.42064843,40.39879738,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,,23.16,8.69,117.42065738,40.39879662,
152,1,target,1533.3,627.2,down,down_L2,23.15,9.81,,,117.42063007,40.39879790,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,,23.15,9.81,117.42063450,40.39879715,
153,1,target,1517.7,620.1,down,down_L2,23.12,11.01,,,117.42061055,40.39879844,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,,23.12,11.01,117.42060716,40.39879789,
154,1,target,1503.2,612.9,down,down_L2,23.12,12.20,,,117.42059104,40.39879899,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,,23.12,12.20,117.42058224,40.39879868,
155,1,target,1489.4,607.3,down,down_L2,23.05,13.26,,,117.42057364,40.39879948,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,,23.05,13.26,117.42055014,40.39879983,
156,1,target,1476.4,600.1,down,down_L2,23.11,14.47,,,117.42055387,40.39880003,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,109.8,23.11,14.47,117.42053471,40.39880025,
157,1,target,1463.5,594.0,down,down_L2,23.10,15.61,,,117.42053526,40.39880056,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,109.8,23.10,15.61,117.42053138,40.39880033,
158,1,target,1450.8,587.7,down,down_L2,23.11,16.79,,,117.42051595,40.39880110,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,109.8,23.11,16.79,117.42051821,40.39880056,
159,1,target,1438.2,582.2,down,down_L2,23.06,17.92,,,117.42049742,40.39880162,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,109.8,23.06,17.92,117.42049766,40.39880104,
160,1,target,1426.4,576.8,down,down_L2,23.04,19.02,,,117.42047931,40.39880213,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,109.8,23.04,19.02,117.42047694,40.39880168,
161,1,target,1415.2,571.2,down,down_L2,23.05,20.16,,,117.42046068,40.39880265,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,109.8,23.05,20.16,117.42046248,40.39880223,
162,1,target,1404.1,566.3,down,down_L2,23.01,21.25,,,117.42044287,40.39880315,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,109.8,23.01,21.25,117.42045756,40.39880241,
163,1,target,1393.4,561.0,down,down_L2,23.02,22.39,,,117.42042420,40.39880367,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,105.7,23.02,22.39,117.42044408,40.39880281,
164,1,target,1382.8,556.2,down,down_L2,22.99,23.50,,,117.42040605,40.39880418,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,105.7,22.99,23.50,117.42041519,40.39880327,
165,1,target,1372.4,550.7,down,down_L2,23.02,24.71,,,117.42038627,40.39880474,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,105.7,23.02,24.71,117.42039131,40.39880378,
166,1,target,1362.6,546.0,down,down_L2,23.01,25.83,,,117.42036795,40.39880525,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,105.7,23.01,25.83,117.42036571,40.39880446,
167,1,target,1353.4,541.4,down,down_L2,23.02,26.92,,,117.42035003,40.39880575,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,105.7,23.02,26.92,117.42034199,40.39880521,
168,1,target,1344.0,536.6,down,down_L2,23.04,28.08,,,117.42033116,40.39880628,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,105.7,23.04,28.08,117.42030977,40.39880647,
169,1,target,1333.8,532.3,down,down_L2,22.98,29.25,,,117.42031202,40.39880682,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,105.7,22.98,29.25,117.42030317,40.39880677,
170,1,target,1325.0,527.7,down,down_L2,23.01,30.41,,,117.42029645,40.39880725,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,104.9,23.01,30.41,117.42029353,40.39880693,
171,1,target,1316.7,522.7,down,down_L2,23.08,31.62,,,117.42028680,40.39880752,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,104.9,23.08,31.62,117.42028776,40.39880693,
172,1,target,1308.3,518.5,down,down_L2,23.09,32.76,,,117.42027775,40.39880778,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,104.9,23.09,32.76,117.42027811,40.39880707,
173,1,target,1299.1,514.5,down,down_L2,23.05,33.94,,,117.42026835,40.39880804,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,104.9,23.05,33.94,117.42026721,40.39880744,
174,1,target,1291.1,510.3,down,down_L2,23.08,35.11,,,117.42025907,40.39880830,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,104.9,23.08,35.11,117.42025973,40.39880782,
175,1,target,1283.0,506.9,down,down_L2,23.03,36.19,,,117.42025057,40.39880854,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,104.9,23.03,36.19,117.42025717,40.39880796,
176,1,target,1274.7,502.7,down,down_L2,23.04,37.42,,,117.42024119,40.39880881,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,103.0,23.04,37.42,117.42025071,40.39880817,
177,1,target,1266.7,498.6,down,down_L2,23.05,38.66,,,117.42023174,40.39880908,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,103.0,23.05,38.66,117.42023590,40.39880817,
