frame,track_id,class,u_px,v_px,image_region,image_lane,x_world_m,y_world_m,map_x,map_y,longitude,latitude,map_lane_code_raw,map_lane_code,map_lane_id,speed_kmh,raw_x_world_m,raw_y_world_m,raw_longitude,raw_latitude,output_filter_reason
194,3,target,756.0,254.0,down,down_L4,31.20,224.03,,,117.41937995,40.39879899,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.20,224.03,117.41382557,40.39878983,
195,3,target,756.3,254.4,down,down_L4,31.20,223.06,,,117.41936857,40.39879931,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.20,223.06,117.41383693,40.39878954,
196,3,target,756.9,254.5,down,down_L4,31.25,222.55,,,117.41936255,40.39879948,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.25,222.55,117.41384292,40.39878889,
197,3,target,757.0,254.6,down,down_L4,31.25,222.26,,,117.41935909,40.39879958,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.25,222.26,117.41384637,40.39878884,
198,3,target,757.1,255.3,down,down_L4,31.17,220.57,,,117.41933913,40.39880014,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.17,220.57,117.41386634,40.39878903,
199,3,target,757.6,255.7,down,down_L4,31.16,219.21,,,117.41932316,40.39880059,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.16,219.21,117.41388229,40.39878865,
200,3,target,758.5,255.9,down,down_L4,31.25,218.32,,,117.41931263,40.39880088,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.25,218.32,117.41389277,40.39878763,
201,3,target,759.5,256.7,down,down_L4,31.26,216.09,,,117.41928640,40.39880162,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.26,216.09,117.41391897,40.39878684,
202,3,target,760.1,257.3,down,down_L4,31.26,214.60,,,117.41926875,40.39880212,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.26,214.60,117.41393659,40.39878634,
203,3,target,760.8,257.6,down,down_L4,31.30,213.53,,,117.41925621,40.39880247,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.30,213.53,117.41394910,40.39878570,
204,3,target,761.0,257.8,down,down_L4,31.30,213.07,,,117.41925072,40.39880262,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.30,213.07,117.41395459,40.39878558,
205,3,target,761.3,258.1,down,down_L4,31.29,212.18,,,117.41924027,40.39880292,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.29,212.18,117.41396503,40.39878536,
206,3,target,761.7,258.9,down,down_L4,31.24,210.38,,,117.41921905,40.39880351,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.24,210.38,117.41398624,40.39878526,
207,3,target,762.4,259.4,down,down_L4,31.25,208.83,,,117.41920075,40.39880403,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.25,208.83,117.41400451,40.39878473,
208,3,target,763.0,259.8,down,down_L4,31.28,207.84,,,117.41918910,40.39880435,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.28,207.84,117.41401613,40.39878414,
209,3,target,763.1,260.3,down,down_L4,31.22,206.62,,,117.41917472,40.39880475,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.22,206.62,117.41403051,40.39878433,
210,3,target,763.9,260.6,down,down_L4,31.27,205.72,,,117.41916409,40.39880505,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.27,205.72,117.41404111,40.39878361,
211,3,target,764.1,260.6,down,down_L4,31.29,205.62,,,117.41916292,40.39880508,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.29,205.62,117.41404228,40.39878337,
212,3,target,764.4,261.3,down,down_L4,31.24,204.05,,,117.41914445,40.39880560,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.24,204.05,117.41406074,40.39878334,
213,3,target,765.2,261.9,down,down_L4,31.25,202.44,,,117.41912544,40.39880614,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.25,202.44,117.41407972,40.39878273,
214,3,target,765.8,262.4,down,down_L4,31.26,201.28,,,117.41911180,40.39880652,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.26,201.28,117.41409333,40.39878228,
215,3,target,766.3,263.1,down,down_L4,31.21,199.62,,,117.41909218,40.39880707,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.21,199.62,117.41411295,40.39878220,
216,3,target,766.7,263.6,down,down_L4,31.21,198.56,,,117.41907972,40.39880741,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.21,198.56,117.41412540,40.39878188,
217,3,target,767.5,264.0,down,down_L4,31.24,197.37,,,117.41906570,40.39880781,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.24,197.37,117.41413939,40.39878130,
218,3,target,767.9,264.6,down,down_L4,31.21,196.10,,,117.41905070,40.39880823,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.21,196.10,117.41415437,40.39878112,
219,3,target,768.4,265.5,down,down_L4,31.16,194.19,,,117.41902825,40.39880886,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.16,194.19,117.41417682,40.39878103,
