frame,track_id,class,u_px,v_px,image_region,image_lane,x_world_m,y_world_m,map_x,map_y,longitude,latitude,map_lane_code_raw,map_lane_code,map_lane_id,speed_kmh,raw_x_world_m,raw_y_world_m,raw_longitude,raw_latitude,output_filter_reason,ModelHeight
194,3,target,756,254,down,down_L4,31.2,224.03,,,117.41938,40.39879899,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.2,224.03,117.4138256,40.39878983,,574.966
195,3,target,756.3,254.4,down,down_L4,31.2,223.06,,,117.4193686,40.39879931,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.2,223.06,117.4138369,40.39878954,,574.955
196,3,target,756.9,254.5,down,down_L4,31.25,222.55,,,117.4193626,40.39879948,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.25,222.55,117.4138429,40.39878889,,574.947
197,3,target,757,254.6,down,down_L4,31.25,222.26,,,117.4193591,40.39879958,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.25,222.26,117.4138464,40.39878884,,574.942
198,3,target,757.1,255.3,down,down_L4,31.17,220.57,,,117.4193391,40.39880014,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.17,220.57,117.4138663,40.39878903,,574.921
199,3,target,757.6,255.7,down,down_L4,31.16,219.21,,,117.4193232,40.39880059,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.16,219.21,117.4138823,40.39878865,,574.902
200,3,target,758.5,255.9,down,down_L4,31.25,218.32,,,117.4193126,40.39880088,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.25,218.32,117.4138928,40.39878763,,574.889
201,3,target,759.5,256.7,down,down_L4,31.26,216.09,,,117.4192864,40.39880162,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.26,216.09,117.413919,40.39878684,,574.855
202,3,target,760.1,257.3,down,down_L4,31.26,214.6,,,117.4192688,40.39880212,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.26,214.6,117.4139366,40.39878634,,574.838
203,3,target,760.8,257.6,down,down_L4,31.3,213.53,,,117.4192562,40.39880247,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.3,213.53,117.4139491,40.3987857,,574.823
204,3,target,761,257.8,down,down_L4,31.3,213.07,,,117.4192507,40.39880262,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.3,213.07,117.4139546,40.39878558,,574.817
205,3,target,761.3,258.1,down,down_L4,31.29,212.18,,,117.4192403,40.39880292,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.29,212.18,117.413965,40.39878536,,574.804
206,3,target,761.7,258.9,down,down_L4,31.24,210.38,,,117.4192191,40.39880351,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.24,210.38,117.4139862,40.39878526,,574.777
207,3,target,762.4,259.4,down,down_L4,31.25,208.83,,,117.4192008,40.39880403,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.25,208.83,117.4140045,40.39878473,,574.762
208,3,target,763,259.8,down,down_L4,31.28,207.84,,,117.4191891,40.39880435,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.28,207.84,117.4140161,40.39878414,,574.743
209,3,target,763.1,260.3,down,down_L4,31.22,206.62,,,117.4191747,40.39880475,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.22,206.62,117.4140305,40.39878433,,574.724
210,3,target,763.9,260.6,down,down_L4,31.27,205.72,,,117.4191641,40.39880505,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.27,205.72,117.4140411,40.39878361,,574.711
211,3,target,764.1,260.6,down,down_L4,31.29,205.62,,,117.4191629,40.39880508,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.29,205.62,117.4140423,40.39878337,,574.709
212,3,target,764.4,261.3,down,down_L4,31.24,204.05,,,117.4191445,40.3988056,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.24,204.05,117.4140607,40.39878334,,574.684
213,3,target,765.2,261.9,down,down_L4,31.25,202.44,,,117.4191254,40.39880614,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.25,202.44,117.4140797,40.39878273,,574.653
214,3,target,765.8,262.4,down,down_L4,31.26,201.28,,,117.4191118,40.39880652,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.26,201.28,117.4140933,40.39878228,,574.626
215,3,target,766.3,263.1,down,down_L4,31.21,199.62,,,117.4190922,40.39880707,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.21,199.62,117.414113,40.3987822,,574.59
216,3,target,766.7,263.6,down,down_L4,31.21,198.56,,,117.4190797,40.39880741,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.21,198.56,117.4141254,40.39878188,,574.568
217,3,target,767.5,264,down,down_L4,31.24,197.37,,,117.4190657,40.39880781,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.24,197.37,117.4141394,40.3987813,,574.544
218,3,target,767.9,264.6,down,down_L4,31.21,196.1,,,117.4190507,40.39880823,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.21,196.1,117.4141544,40.39878112,,574.515
219,3,target,768.4,265.5,down,down_L4,31.16,194.19,,,117.4190283,40.39880886,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.16,194.19,117.4141768,40.39878103,,574.479
220,3,target,769,266.1,down,down_L4,31.15,192.78,,,117.4190116,40.39880933,1,4,24596dbc-9abf-4491-b7ee-1000b2b2fa8d,,31.15,192.78,117.4141935,40.39878069,,574.449
